#snap t x y z vx vy vz
210.00 3.00 -43.20 81.49 -37.46 -30.86 73.13 -28.38
215.00 3.07 -45.22 86.95 -39.46 -33.42 80.38 -28.07
220.00 3.14 -47.46 92.91 -41.52 -34.33 82.25 -30.32
225.00 3.21 -49.77 99.09 -43.71 -36.64 84.18 -30.28
230.00 3.29 -52.41 105.53 -45.73 -40.22 90.23 -30.48
235.00 3.36 -55.31 112.38 -47.93 -43.39 97.63 -31.61
240.00 3.43 -58.50 120.03 -50.16 -42.95 110.98 -30.48
245.00 3.50 -61.61 128.41 -52.30 -40.49 120.64 -30.22
250.00 3.57 -64.79 137.51 -54.38 -42.30 132.56 -28.11
255.00 3.64 -67.92 147.62 -56.33 -43.68 149.01 -27.65
260.00 3.71 -71.00 159.04 -58.08 -43.38 171.05 -21.10
265.00 3.79 -74.03 171.93 -59.23 -43.63 191.52 -10.85
270.00 3.86 -77.11 186.68 -59.36 -36.40 227.61 10.37
275.00 3.93 -78.79 204.30 -57.23 -5.53 264.53 57.20
280.00 4.00 -76.82 223.05 -50.40 57.26 245.46 129.54
285.00 4.07 -71.10 238.30 -40.15 91.71 182.80 148.36
290.00 4.14 -64.54 249.32 -30.14 84.85 125.80 128.77
295.00 4.21 -58.73 257.02 -21.86 74.95 89.44 103.55
300.00 4.29 -53.73 262.48 -15.12 67.49 65.60 86.09
305.00 4.36 -49.22 266.33 -9.66 63.07 44.88 70.92
310.00 4.43 -44.78 268.84 -4.98 61.68 26.04 62.86
315.00 4.50 -40.63 270.12 -0.92 58.57 8.50 52.79
320.00 4.57 -36.47 270.26 2.75 53.29 -6.08 49.85
325.00 4.64 -32.60 269.42 6.15 51.85 -17.51 43.33
330.00 4.71 -29.08 267.85 9.09 52.06 -28.72 37.67
335.00 4.79 -25.44 265.41 11.69 50.89 -40.09 32.73
340.00 4.86 -21.90 262.14 14.02 49.72 -51.22 29.93
345.00 4.93 -18.55 258.21 16.11 44.86 -60.43 25.90
350.00 5.00 -15.50 253.55 17.82 42.87 -70.80 21.37
355.00 5.07 -12.66 248.13 19.10 36.99 -80.08 14.60
360.00 5.14 -9.88 242.10 19.82 36.85 -88.50 5.16
365.00 5.21 -7.44 235.56 19.88 29.93 -92.83 -6.11
370.00 5.29 -5.11 228.88 18.85 32.28 -89.50 -19.83
375.00 5.36 -2.70 222.36 17.32 36.91 -89.57 -23.52
380.00 5.43 -0.15 215.50 15.78 37.32 -98.96 -21.08
385.00 5.50 2.36 207.98 14.31 35.77 -113.13 -18.35
390.00 5.57 4.74 199.33 13.03 32.34 -129.95 -15.76
395.00 5.64 6.73 189.16 11.67 24.22 -151.51 -20.35
400.00 5.71 7.99 177.43 9.80 10.91 -174.89 -32.40
405.00 5.79 8.31 163.96 7.30 -11.86 -222.75 -49.68
410.00 5.86 4.23 144.62 1.54 -171.70 -232.80 -87.65
415.00 5.93 -4.45 135.18 -0.80 -81.19 -73.05 -13.94
420.00 6.00 -7.71 131.60 -0.52 24.73 -35.43 24.11
425.00 6.07 -6.02 131.40 1.26 78.95 -0.04 48.38
430.00 6.14 0.16 133.58 5.16 125.47 42.32 72.76
435.00 6.21 13.90 139.21 11.82 192.18 137.00 118.53
440.00 6.29 21.62 144.58 18.95 27.02 -55.43 1.52
445.00 6.36 23.01 140.00 18.70 41.29 -48.46 21.91
450.00 6.43 25.42 138.15 20.12 40.93 -26.51 16.78
455.00 6.50 28.80 136.97 22.58 39.82 -20.06 19.76
460.00 6.57 31.89 135.11 24.65 40.14 -30.65 20.79
465.00 6.64 34.87 133.13 27.09 38.94 -22.50 34.31
470.00 6.71 37.73 131.52 29.97 37.44 -25.79 34.20
475.00 6.79 40.34 129.52 32.51 43.02 -27.72 40.81
480.00 6.86 44.44 125.28 35.86 40.62 -31.24 29.02
485.00 6.93 46.89 122.97 37.40 42.04 -31.27 24.10
490.00 7.00 49.81 120.47 39.39 37.41 -28.81 22.49
495.00 7.07 52.64 119.03 40.81 37.99 -23.27 30.24
500.00 7.14 54.56 118.48 41.43 33.09 -21.48 20.97
505.00 7.21 55.50 116.00 43.20 36.47 -24.66 22.23
510.00 7.29 59.71 115.20 44.35 32.32 -27.29 21.49
515.00 7.36 60.32 112.38 45.99 30.53 -26.07 22.82
520.00 7.43 62.83 110.74 47.76 30.32 -24.02 26.97
525.00 7.50 65.38 109.19 49.60 29.54 -25.22 24.57
530.00 7.57 67.89 107.40 51.39 28.10 -27.91 23.54
535.00 7.64 70.44 105.62 53.20 30.75 -25.53 30.24
540.00 7.71 72.89 104.13 55.24 28.06 -21.79 25.60
545.00 7.79 75.05 102.71 56.90 28.62 -20.98 18.81
550.00 7.86 77.09 101.25 58.22 30.18 -16.83 18.87
555.00 7.93 79.44 100.02 59.52 32.89 -20.18 18.24
560.00 8.00 80.85 98.84 59.92 36.40 -16.89 21.71
565.00 8.07 83.61 97.88 61.57 37.31 -17.41 23.04
570.00 8.14 86.02 96.23 63.21 37.95 -19.80 22.98
575.00 8.21 89.37 95.69 65.32 37.72 -17.15 29.70
580.00 8.29 92.00 93.90 67.86 40.83 -17.01 35.23
585.00 8.36 95.14 92.20 70.07 40.44 -23.28 38.95
590.00 8.43 97.84 90.60 72.62 37.80 -23.00 37.16
595.00 8.50 100.34 88.79 74.92 34.60 -25.19 32.60
600.00 8.57 102.80 86.87 77.08 32.65 -24.99 26.25
605.00 8.64 105.18 84.95 79.08 32.71 -25.73 26.81
610.00 8.71 107.37 82.91 80.87 31.62 -25.69 20.14
615.00 8.79 109.35 80.72 82.43 27.10 -27.65 14.56
620.00 8.86 111.53 78.81 83.95 33.22 -26.00 18.94
625.00 8.93 113.87 76.91 85.51 32.95 -26.05 22.00
630.00 9.00 116.04 75.07 87.13 31.14 -24.30 20.36
635.00 9.07 118.61 73.80 88.69 29.27 -24.38 20.20
640.00 9.14 120.41 71.67 90.14 30.68 -27.82 19.34
645.00 9.21 122.61 69.89 91.57 31.43 -25.33 21.88
650.00 9.29 124.85 68.15 93.08 31.81 -25.93 21.46
655.00 9.36 127.06 66.36 94.43 28.92 -25.90 18.07
660.00 9.43 129.09 64.41 95.71 27.58 -29.42 20.68
665.00 9.50 130.97 62.73 97.35 25.38 -22.34 24.15
670.00 9.57 132.91 61.49 99.10 26.97 -17.02 26.81
675.00 9.64 134.83 60.58 100.87 29.29 -13.68 24.79
680.00 9.71 137.00 59.07 102.48 29.05 -14.81 22.09
685.00 9.79 139.37 58.10 104.34 31.98 -18.22 25.00
690.00 9.86 141.96 57.02 106.36 36.10 -16.41 25.95
695.00 9.93 144.18 55.97 108.09 36.63 -17.43 30.03
700.00 10.00 146.83 54.42 110.15 38.21 -19.97 31.65
705.00 10.07 149.65 53.10 112.74 36.00 -21.95 31.72
710.00 10.14 152.17 51.63 114.99 31.21 -19.86 34.92
715.00 10.21 154.47 50.50 117.45 33.16 -17.87 32.46
720.00 10.29 156.73 48.93 119.96 33.26 -18.43 32.07
725.00 10.36 158.91 47.45 121.56 34.10 -16.90 29.99
730.00 10.43 161.26 46.07 123.43 33.93 -19.40 24.34
735.00 10.50 163.53 44.23 125.17 29.62 -26.50 20.37
740.00 10.57 165.82 42.24 126.79 32.40 -31.69 18.09
745.00 10.64 168.02 40.12 128.03 30.92 -31.06 17.10
750.00 10.71 170.18 38.03 129.45 29.30 -29.86 17.66
755.00 10.79 172.05 36.11 130.75 25.45 -23.52 18.38
760.00 10.86 173.95 34.60 132.24 26.33 -20.11 18.39
765.00 10.93 175.96 33.27 133.78 30.84 -17.15 24.19
770.00 11.00 178.18 32.10 135.73 32.18 -16.96 27.22
775.00 11.07 180.37 30.82 137.65 30.60 -20.37 26.89
780.00 11.14 182.44 29.36 139.53 29.74 -21.89 28.87
785.00 11.21 184.40 27.20 141.45 29.91 -22.40 28.91
790.00 11.29 186.60 26.34 143.40 29.25 -18.22 28.61
795.00 11.36 188.62 24.28 145.18 29.55 -22.59 27.82
800.00 11.43 190.87 23.17 146.72 31.49 -18.96 26.69
