#t x y z vx vy vz
7.20 399.34 -163.99 112.53 -40.91 -34.45 -43.71
7.30 395.08 -167.37 108.11 -44.21 -33.07 -44.62
7.40 390.49 -170.60 103.61 -47.54 -31.64 -45.53
7.50 385.57 -173.69 99.01 -50.93 -30.14 -46.41
7.60 380.30 -176.63 94.32 -54.36 -28.57 -47.28
7.70 374.69 -179.40 89.55 -57.84 -26.92 -48.13
7.80 368.73 -182.01 84.70 -61.39 -25.20 -48.97
7.90 362.41 -184.44 79.76 -65.00 -23.39 -49.79
8.00 355.73 -186.68 74.74 -68.68 -21.49 -50.58
8.10 348.67 -188.73 69.65 -72.44 -19.48 -51.36
8.20 341.24 -190.57 64.47 -76.28 -17.37 -52.11
8.30 333.41 -192.20 59.22 -80.22 -15.14 -52.83
8.40 325.19 -193.60 53.91 -84.25 -12.78 -53.53
8.50 316.56 -194.75 48.52 -88.39 -10.27 -54.20
8.60 307.50 -195.64 43.07 -92.65 -7.61 -54.83
8.70 298.02 -196.26 37.56 -97.03 -4.77 -55.42
8.80 288.09 -196.59 31.99 -101.56 -1.74 -55.96
8.90 277.70 -196.60 26.37 -106.23 1.51 -56.45
9.00 266.84 -196.27 20.70 -111.08 5.01 -56.87
9.10 255.48 -195.58 15.00 -116.10 8.77 -57.22
9.20 243.61 -194.50 9.26 -121.32 12.86 -57.49
9.30 231.20 -192.99 3.51 -126.76 17.29 -57.64
9.40 218.24 -191.02 -2.26 -132.44 22.14 -57.66
9.50 204.70 -188.54 -8.02 -138.37 27.47 -57.51
9.60 190.55 -185.50 -13.75 -144.59 33.35 -57.15
9.70 175.77 -181.84 -19.44 -151.10 39.88 -56.55
9.80 160.32 -177.49 -25.04 -157.94 47.20 -55.62
9.90 144.16 -172.35 -30.54 -165.12 55.44 -54.29
10.00 127.28 -166.34 -35.88 -172.63 64.82 -52.43
10.10 109.62 -159.32 -40.99 -180.47 75.59 -49.86
