#t x y z vx vy vz
8.21 89.55 94.64 65.77 37.72 -17.15 29.70
8.29 92.54 93.44 68.23 40.83 -17.01 35.23
8.36 95.11 92.29 70.42 40.44 -23.28 38.95
8.43 98.03 90.60 73.02 37.80 -23.00 37.16
8.50 100.45 89.10 75.07 34.60 -25.19 32.60
8.57 103.05 87.31 77.27 32.65 -24.99 26.25
8.64 105.45 85.65 79.17 32.71 -25.73 26.81
8.71 108.07 83.72 81.02 31.62 -25.69 20.14
8.79 110.13 81.87 82.60 27.10 -27.65 14.56
8.86 112.28 79.91 84.12 33.22 -26.00 18.94
8.93 114.64 77.94 85.77 32.95 -26.05 22.00
9.00 116.98 76.18 87.34 31.14 -24.30 20.36
9.07 118.92 74.07 88.66 29.27 -24.38 20.20
9.14 121.17 72.42 90.18 30.68 -27.82 19.34
9.21 122.49 69.87 91.30 31.43 -25.33 21.88
9.29 125.18 68.65 92.96 31.81 -25.93 21.46
9.36 127.30 66.84 94.27 28.92 -25.90 18.07
9.43 129.33 64.88 95.61 27.58 -29.42 20.68
9.50 131.36 63.30 97.39 25.38 -22.34 24.15
9.57 132.83 61.49 98.70 26.97 -17.02 26.81
9.64 135.28 60.77 100.80 29.29 -13.68 24.79
9.71 137.20 59.55 102.53 29.05 -14.81 22.09
9.79 139.57 58.38 104.45 31.98 -18.22 25.00
9.86 142.15 57.43 106.50 36.10 -16.41 25.95
9.93 144.50 55.70 108.45 36.63 -17.43 30.03
10.00 147.04 54.65 110.45 38.21 -19.97 31.65
10.07 149.66 53.37 112.77 36.00 -21.95 31.72
10.14 151.97 51.77 114.91 31.21 -19.86 34.92
10.21 154.27 50.47 117.41 33.16 -17.87 32.46
10.29 156.39 49.02 119.60 33.26 -18.43 32.07
10.36 158.52 47.49 121.61 34.10 -16.90 29.99
10.43 160.52 45.91 123.23 33.93 -19.40 24.34
10.50 162.82 44.27 124.98 29.62 -26.50 20.37
10.57 165.35 42.20 126.48 32.40 -31.69 18.09
10.64 167.03 40.42 127.20 30.92 -31.06 17.10
10.71 169.31 38.47 128.45 29.30 -29.86 17.66
10.79 171.36 36.46 129.89 25.45 -23.52 18.38
10.86 173.10 35.34 131.18 26.33 -20.11 18.39
10.93 175.15 33.85 133.03 30.84 -17.15 24.19
11.00 177.52 32.54 135.03 32.18 -16.96 27.22
11.07 179.82 31.27 137.23 30.60 -20.37 26.89
11.14 181.97 29.61 139.01 29.74 -21.89 28.87
11.21 184.15 27.84 140.94 29.91 -22.40 28.91
11.29 186.56 25.95 143.06 29.25 -18.22 28.61
11.36 188.64 24.61 144.91 29.55 -22.59 27.82
11.43 190.74 23.63 146.60 31.49 -18.96 26.69
